"id","name","state","subSaga"
1,"Piccolo","","Raditz Saga"
1,"Raditz","","Raditz Saga"
2,"Krillin","","Raditz Saga"
2,"Raditz","","Raditz Saga"
3,"Goku","","Raditz Saga"
3,"Raditz","","Raditz Saga"
4,"Goku","","Raditz Saga"
4,"Piccolo","","Raditz Saga"
4,"Gohan","","Raditz Saga"
4,"Raditz","","Raditz Saga"
5,"Tien Shinhan","","Vegeta Saga"
5,"Yamcha","","Vegeta Saga"
6,"Krillin","","Vegeta Saga"
6,"Yajirobe","","Vegeta Saga"
7,"Tien Shinhan","","Vegeta Saga"
7,"Yamcha","","Vegeta Saga"
7,"Krillin","","Vegeta Saga"
7,"Chiaotzu","","Vegeta Saga"
7,"Shorty","","Vegeta Saga"
7,"Scarface","","Vegeta Saga"
8,"Piccolo","","Vegeta Saga"
8,"Clone Piccolo","","Vegeta Saga"
9,"Piccolo","","Vegeta Saga"
9,"Gohan","Great Ape","Vegeta Saga"
10,"Piccolo","","Vegeta Saga"
10,"Gohan","","Vegeta Saga"
11,"Tien Shinhan","","Vegeta Saga"
11,"Saibaman","","Vegeta Saga"
12,"Yamcha","","Vegeta Saga"
12,"Saibaman","","Vegeta Saga"
13,"Krillin","","Vegeta Saga"
13,"Saibaman","","Vegeta Saga"
13,"Saibaman","","Vegeta Saga"
13,"Saibaman","","Vegeta Saga"
13,"Saibaman","","Vegeta Saga"
14,"Piccolo","","Vegeta Saga"
14,"Saibaman","","Vegeta Saga"
15,"Tien Shinhan","","Vegeta Saga"
15,"Nappa","","Vegeta Saga"
16,"Chiaotzu","","Vegeta Saga"
16,"Nappa","","Vegeta Saga"
17,"Piccolo","","Vegeta Saga"
17,"Krillin","","Vegeta Saga"
17,"Gohan","","Vegeta Saga"
17,"Nappa","","Vegeta Saga"
18,"Goku","","Vegeta Saga"
18,"Nappa","","Vegeta Saga"
19,"Goku","","Vegeta Saga"
19,"Vegeta","","Vegeta Saga"
20,"Goku","","Vegeta Saga"
20,"Vegeta","Great Ape","Vegeta Saga"
21,"Gohan","","Vegeta Saga"
21,"Krillin","","Vegeta Saga"
21,"Yajirobe","","Vegeta Saga"
21,"Vegeta","Great Ape","Vegeta Saga"
22,"Gohan","","Vegeta Saga"
22,"Vegeta","","Vegeta Saga"
23,"Goku","","Vegeta Saga"
23,"Krillin","","Vegeta Saga"
23,"Gohan","","Vegeta Saga"
23,"Vegeta","","Vegeta Saga"
24,"Yajirobe","","Vegeta Saga"
24,"Vegeta","","Vegeta Saga"
25,"Gohan","Great Ape","Vegeta Saga"
25,"Vegeta","","Vegeta Saga"
26,"Krillin","","Namek Saga"
26,"Gohan","","Namek Saga"
26,"Banan","","Namek Saga"
26,"Sui","","Namek Saga"
27,"Vegeta","","Namek Saga"
27,"Cui","","Namek Saga"
28,"Namekian","","Namek Saga"
28,"Namekian","","Namek Saga"
28,"Namekian","","Namek Saga"
28,"Namekian","","Namek Saga"
28,"Zarbon","","Namek Saga"
28,"Dodoria","","Namek Saga"
29,"Krillin","","Namek Saga"
29,"Gohan","","Namek Saga"
29,"Dodoria","","Namek Saga"
30,"Vegeta","","Namek Saga"
30,"Dodoria","","Namek Saga"
31,"Vegeta","","Namek Saga"
31,"Zarbon","","Namek Saga"
32,"Yamcha","","Namek Saga"
32,"Tien Shinhan","","Namek Saga"
32,"Chiaotzu","","Namek Saga"
32,"Piccolo","","Namek Saga"
33,"Vegeta","","Namek Saga"
33,"Zarbon","","Namek Saga"
34,"Gohan","","Namek Saga"
34,"Krillin","","Namek Saga"
34,"Guldo","","Namek Saga"
35,"Vegeta","","Namek Saga"
35,"Gohan","","Namek Saga"
35,"Krillin","","Namek Saga"
35,"Recoome","","Namek Saga"
36,"Goku","","Namek Saga"
36,"Recoome","","Namek Saga"
37,"Goku","","Namek Saga"
37,"Burter","","Namek Saga"
37,"Jeice","","Namek Saga"
38,"Goku","","Captain Ginyu Saga"
38,"Burter","","Captain Ginyu Saga"
38,"Jeice","","Captain Ginyu Saga"
39,"Goku","","Captain Ginyu Saga"
39,"Captain Ginyu","","Captain Ginyu Saga"
40,"Namekian","","Captain Ginyu Saga"
40,"Namekian","","Captain Ginyu Saga"
40,"Namekian","","Captain Ginyu Saga"
40,"Frieza","First Form","Captain Ginyu Saga"
41,"Nail","","Captain Ginyu Saga"
41,"Frieza","First Form","Captain Ginyu Saga"
42,"Gohan","","Captain Ginyu Saga"
42,"Krillin","","Captain Ginyu Saga"
42,"Captain Ginyu","Goku's body","Captain Ginyu Saga"
43,"Vegeta","","Captain Ginyu Saga"
43,"Jeice","","Captain Ginyu Saga"
44,"Vegeta","","Captain Ginyu Saga"
44,"Captain Ginyu","Goku's body","Captain Ginyu Saga"
45,"Nail","","Frieza Saga"
45,"Frieza","First Form","Frieza Saga"
46,"Vegeta","","Frieza Saga"
46,"Gohan","","Frieza Saga"
46,"Krillin","","Frieza Saga"
46,"Frieza","First Form","Frieza Saga"
47,"Vegeta","","Frieza Saga"
47,"Frieza","First Form","Frieza Saga"
48,"Gohan","","Frieza Saga"
48,"Frieza","Second Form","Frieza Saga"
49,"Krillin","","Frieza Saga"
49,"Frieza","Second Form","Frieza Saga"
50,"Piccolo","","Frieza Saga"
50,"Frieza","Second Form","Frieza Saga"
51,"Piccolo","","Frieza Saga"
51,"Frieza","Third Form","Frieza Saga"
52,"Gohan","","Frieza Saga"
52,"Frieza","Third Form","Frieza Saga"
53,"Gohan","","Frieza Saga"
53,"Krillin","","Frieza Saga"
53,"Piccolo","","Frieza Saga"
53,"Frieza","Final Form","Frieza Saga"
54,"Vegeta","","Frieza Saga"
54,"Frieza","Final Form","Frieza Saga"
55,"Goku","","Frieza Saga"
55,"Frieza","Final Form","Frieza Saga"
56,"Goku","","Frieza Saga"
56,"Frieza","Final Form","Frieza Saga"
57,"Tien Shinhan","","Frieza Saga"
57,"Jeice","","Frieza Saga"
57,"Burter","","Frieza Saga"
58,"Yamcha","","Frieza Saga"
58,"Recoome","","Frieza Saga"
59,"Chiaotzu","","Frieza Saga"
59,"Guldo","","Frieza Saga"
60,"Goku","Super Saiyan","Frieza Saga"
60,"Frieza","Final Form","Frieza Saga"
61,"Goku","Super Saiyan","Frieza Saga"
61,"Frieza","Final Form","Frieza Saga"
62,"Goku","Super Saiyan","Frieza Saga"
62,"Frieza","Final Form","Frieza Saga"
63,"Gohan","","Frieza Saga"
63,"Frieza","Final Form","Frieza Saga"
64,"Goku","Super Saiyan","Frieza Saga"
64,"Frieza","Final Form","Frieza Saga"
65,"Gohan","","Frieza Saga"
65,"Vegeta","","Frieza Saga"
66,"Future Trunks","","Trunks Saga"
66,"King Cold's soldier","","Trunks Saga"
66,"King Cold's soldier","","Trunks Saga"
66,"King Cold's soldier","","Trunks Saga"
66,"King Cold's soldier","","Trunks Saga"
67,"Future Trunks","Super Saiyan","Trunks Saga"
67,"Frieza","Mecha","Trunks Saga"
68,"Future Trunks","Super Saiyan","Trunks Saga"
68,"King Cold","","Trunks Saga"
69,"Future Trunks","Super Saiyan","Trunks Saga"
69,"Goku","Super Saiyan","Trunks Saga"
70,"Tien Shinhan","","Trunks Saga"
70,"Chiaotzu","","Trunks Saga"
71,"Goku","","Trunks Saga"
71,"Piccolo","","Trunks Saga"
72,"Goku","","Trunks Saga"
72,"Piccolo","","Trunks Saga"
72,"Gohan","","Trunks Saga"
73,"Yamcha","","Androids Saga"
73,"Android 20","","Androids Saga"
74,"Goku","Super Saiyan","Androids Saga"
74,"Android 19","","Androids Saga"
75,"Vegeta","Super Saiyan","Androids Saga"
75,"Android 19","","Androids Saga"
76,"Piccolo","","Androids Saga"
76,"Android 20","","Androids Saga"
77,"Krillin","","Androids Saga"
77,"Android 20","","Androids Saga"
78,"Vegeta","Super Saiyan","Androids Saga"
78,"Android 18","","Androids Saga"
79,"Future Trunks","Super Saiyan","Androids Saga"
79,"Android 18","","Androids Saga"
80,"Piccolo","","Androids Saga"
80,"Tien Shinhan","","Androids Saga"
80,"Android 17","","Androids Saga"
81,"Piccolo","","Imperfect Cell Saga"
81,"Cell","Imperfect Form","Imperfect Cell Saga"
82,"Krillin","","Imperfect Cell Saga"
82,"Cell","","Imperfect Cell Saga"
83,"Piccolo","","Imperfect Cell Saga"
83,"Android 17","","Imperfect Cell Saga"
84,"Piccolo","","Imperfect Cell Saga"
84,"Android 17","","Imperfect Cell Saga"
84,"Cell","Imperfect Form","Imperfect Cell Saga"
85,"Android 16","","Imperfect Cell Saga"
85,"Cell","Imperfect Form","Imperfect Cell Saga"
86,"Android 16","","Imperfect Cell Saga"
86,"Cell","Semi-Perfect Form","Imperfect Cell Saga"
87,"Tien Shinhan","","Imperfect Cell Saga"
87,"Cell","Semi-Perfect Form","Imperfect Cell Saga"
88,"Tien Shinhan","","Perfect Cell Saga"
88,"Cell","Semi-Perfect Form","Perfect Cell Saga"
89,"Vegeta","2nd Grade Super Saiyan","Perfect Cell Saga"
89,"Cell","Semi-Perfect Form","Perfect Cell Saga"
90,"Future Trunks","Super Saiyan","Perfect Cell Saga"
90,"Cell","Semi-Perfect Form","Perfect Cell Saga"
91,"Future Trunks","2nd Grade Super Saiyan","Perfect Cell Saga"
91,"Vegeta","2nd Grade Super Saiyan","Perfect Cell Saga"
92,"Krillin","","Perfect Cell Saga"
92,"Android 16","","Perfect Cell Saga"
92,"Android 18","","Perfect Cell Saga"
92,"Future Trunks","2nd Grade Super Saiyan","Perfect Cell Saga"
92,"Cell","Semi-Perfect Form","Perfect Cell Saga"
93,"Goku","Super Saiyan","Perfect Cell Saga"
93,"Gohan","","Perfect Cell Saga"
94,"Goku","Super Saiyan","Perfect Cell Saga"
94,"Gohan","Super Saiyan","Perfect Cell Saga"
95,"Krillin","","Perfect Cell Saga"
95,"Future Trunks","2nd Grade Super Saiyan","Perfect Cell Saga"
95,"Cell","Perfect Form","Perfect Cell Saga"
96,"Vegeta","2nd Grade Super Saiyan","Perfect Cell Saga"
96,"Cell","Perfect Form","Perfect Cell Saga"
97,"Future Trunks","2nd Grade Super Saiyan","Perfect Cell Saga"
97,"Cell","Perfect Form","Perfect Cell Saga"
98,"Future Trunks","3rd Grade Super Saiyan","Perfect Cell Saga"
98,"Cell","Perfect Form","Perfect Cell Saga"
99,"Mr. Satan","","Cell Games Saga"
99,"Cell","Perfect Form","Cell Games Saga"
100,"Goku","Full-Power Super Saiyan","Cell Games Saga"
100,"Cell","Perfect Form","Cell Games Saga"
101,"Goku","Full-Power Super Saiyan","Cell Games Saga"
101,"Cell","Perfect Form","Cell Games Saga"
102,"Android 16","","Cell Games Saga"
102,"Cell","Perfect Form","Cell Games Saga"
103,"Goku","Full-Power Super Saiyan","Cell Games Saga"
103,"Vegeta","2nd Grade Super Saiyan","Cell Games Saga"
103,"Future Trunks","3rd Grade Super Saiyan","Cell Games Saga"
103,"Piccolo","","Cell Games Saga"
103,"Krillin","","Cell Games Saga"
103,"Tien Shinhan","","Cell Games Saga"
103,"Yamcha","","Cell Games Saga"
103,"Cell Jr.",,"Cell Games Saga"
103,"Cell Jr.",,"Cell Games Saga"
103,"Cell Jr.",,"Cell Games Saga"
103,"Cell Jr.",,"Cell Games Saga"
103,"Cell Jr.",,"Cell Games Saga"
103,"Cell Jr.",,"Cell Games Saga"
103,"Cell Jr.",,"Cell Games Saga"
104,"Gohan","Super Saiyan 2","Cell Games Saga"
104,"Cell Jr.","","Cell Games Saga"
104,"Cell Jr.","","Cell Games Saga"
104,"Cell Jr.","","Cell Games Saga"
104,"Cell Jr.","","Cell Games Saga"
104,"Cell Jr.","","Cell Games Saga"
104,"Cell Jr.","","Cell Games Saga"
104,"Cell Jr.",,"Cell Games Saga"
105,"Gohan","Super Saiyan 2","Cell Games Saga"
105,"Cell","Perfect and Power-weighted Form","Cell Games Saga"
106,"Gohan","Super Saiyan 2","Cell Games Saga"
106,"Cell","Semi-Perfect Form","Cell Games Saga"
107,"Vegeta","2nd Grade Super Saiyan","Cell Games Saga"
107,"Cell","Super Perfect Form","Cell Games Saga"
108,"Gohan","Super Saiyan 2","Cell Games Saga"
108,"Piccolo","","Cell Games Saga"
108,"Krillin","","Cell Games Saga"
108,"Tien Shinhan","","Cell Games Saga"
108,"Yamcha","","Cell Games Saga"
108,"Vegeta","2nd Grade Super Saiyan","Cell Games Saga"
108,"Cell","Super Perfect Form","Cell Games Saga"
109,"Future Trunks","Super Saiyan","Cell Games Saga"
109,"Future Android 17","","Cell Games Saga"
109,"Future Android 18","","Cell Games Saga"
110,"Future Trunks","Super Saiyan","Cell Games Saga"
110,"Future Cell","Imperfect Form","Cell Games Saga"
111,"Gohan","Super Saiyan","Great Saiyaman Saga"
111,"Robbers","","Great Saiyaman Saga"
112,"Gohan","Great Saiyaman","Great Saiyaman Saga"
112,"Videl","","Great Saiyaman Saga"
113,"Chi-Chi","","Great Saiyaman Saga"
113,"Videl","","Great Saiyaman Saga"
114,"Trunks","","World Tournament Saga"
114,"Goten","","World Tournament Saga"
115,"Trunks","","World Tournament Saga"
115,"Mr. Satan","","World Tournament Saga"
116,"Krillin","","World Tournament Saga"
116,"Pintar","","World Tournament Saga"
117,"Piccolo","","World Tournament Saga"
117,"Supreme Kai","","World Tournament Saga"
118,"Videl","","World Tournament Saga"
118,"Spopovich","","World Tournament Saga"
119,"Krillin","","Babidi Saga"
119,"Piccolo","","Babidi Saga"
119,"Goku","","Babidi Saga"
119,"Vegeta","","Babidi Saga"
119,"Kibito","","Babidi Saga"
119,"Dabura","","Babidi Saga"
120,"Vegeta","","Babidi Saga"
120,"Pui Pui","","Babidi Saga"
121,"Goku","","Babidi Saga"
121,"Yakon","","Babidi Saga"
122,"Goku","Super Saiyan 2","Babidi Saga"
122,"Yakon","","Babidi Saga"
123,"Goten","Mighty Mask","Babidi Saga"
123,"Trunks","Mighty Mask","Babidi Saga"
123,"Killa","","Babidi Saga"
124,"Android 18","","Babidi Saga"
124,"Jewel","","Babidi Saga"
125,"Android 18","","Babidi Saga"
125,"Goten","Mighty Mask","Babidi Saga"
125,"Trunks","Mighty Mask","Babidi Saga"
126,"Android 18","","Babidi Saga"
126,"Mr. Satan","","Babidi Saga"
127,"Gohan","Super Saiyan 2","Babidi Saga"
127,"Dabura","","Babidi Saga"
128,"Goku","Super Saiyan 2","Babidi Saga"
128,"Vegeta","Majin Super Saiyan 2","Babidi Saga"
129,"Goku","Super Saiyan 2","Majin Buu Saga"
129,"Vegeta","Majin Super Saiyan 2","Majin Buu Saga"
130,"Dabura","","Majin Buu Saga"
130,"Buu","Majin","Majin Buu Saga"
131,"Gohan","Super Saiyan 2","Majin Buu Saga"
131,"Buu","Majin","Majin Buu Saga"
132,"Supreme Kai","","Majin Buu Saga"
132,"Buu","Majin","Majin Buu Saga"
133,"Dabura","","Majin Buu Saga"
133,"Buu","Majin","Majin Buu Saga"
134,"Vegeta","Majin Super Saiyan 2","Majin Buu Saga"
134,"Buu","Majin","Majin Buu Saga"
135,"Piccolo","","Majin Buu Saga"
135,"Babidi","","Majin Buu Saga"
136,"Goku","Super Saiyan 3","Majin Buu Saga"
136,"Buu","Majin","Majin Buu Saga"
137,"Goten","","Majin Buu Saga"
137,"Krillin","","Majin Buu Saga"
138,"Gotenks","","Majin Buu Saga"
138,"Buu","Majin","Majin Buu Saga"
139,"Buu","Majin","Fusion Saga"
139,"Evil Buu","","Fusion Saga"
140,"Gotenks","Super Saiyan","Fusion Saga"
140,"Buu","Super","Fusion Saga"
141,"Krillin","","Fusion Saga"
141,"Buu","Super","Fusion Saga"
142,"Gotenks","Super Saiyan 3","Fusion Saga"
142,"Buu","Super","Fusion Saga"
143,"Gohan","","Fusion Saga"
143,"Buu","Super","Fusion Saga"
144,"Gohan","","Fusion Saga"
144,"Buu","Super","Fusion Saga"
145,"Goku","Super Saiyan 3","Fusion Saga"
145,"Buu","Super","Fusion Saga"
146,"Goku","Super Saiyan 2","Fusion Saga"
146,"Vegeta","Super Saiyan 2","Fusion Saga"
146,"Buu","Super","Fusion Saga"
147,"Goku","Vegito Super Saiyan","Fusion Saga"
147,"Buu","Super","Fusion Saga"
147,"Vegeta","Vegito Super Saiyan","Fusion Saga"
148,"Yamcha","","Fusion Saga"
148,"Olibu","","Fusion Saga"
148,"Other World Warrior","","Fusion Saga"
149,"Goku","Vegito Candy","Fusion Saga"
149,"Buu","Super","Fusion Saga"
149,"Vegeta","Vegito Candy","Fusion Saga"
150,"Goku","Super Saiyan","Fusion Saga"
150,"Gohan","","Fusion Saga"
151,"Vegeta","Super Saiyan","Fusion Saga"
151,"Gotenks","Super Saiyan 3","Fusion Saga"
151,"Piccolo","","Fusion Saga"
152,"Goku","Super Saiyan","Fusion Saga"
152,"Vegeta","Super Saiyan","Fusion Saga"
152,"Buu","Super","Fusion Saga"
153,"Goku","Super Saiyan","Kid Buu Saga"
153,"Vegeta","Super Saiyan","Kid Buu Saga"
153,"Buu","Kid","Kid Buu Saga"
154,"Krillin","","Kid Buu Saga"
154,"Yamcha","","Kid Buu Saga"
155,"Krillin","","Kid Buu Saga"
155,"Yamcha","","Kid Buu Saga"
155,"Pikkon","","Kid Buu Saga"
155,"Olibu","","Kid Buu Saga"
155,"Buu","Kid","Kid Buu Saga"
156,"Goku","Super Saiyan 3","Kid Buu Saga"
156,"Buu","Kid","Kid Buu Saga"
157,"Vegeta","","Kid Buu Saga"
157,"Buu","Kid","Kid Buu Saga"
158,"Goku","Super Saiyan 3","Kid Buu Saga"
158,"Buu","Kid","Kid Buu Saga"
159,"Vegeta","Super Saiyan 2","Kid Buu Saga"
159,"Buu","Kid","Kid Buu Saga"
160,"Mr. Satan","","Kid Buu Saga"
160,"Buu","Kid","Kid Buu Saga"
161,"Good (Majin) Buu","","Kid Buu Saga"
161,"Buu","Kid","Kid Buu Saga"
162,"Vegeta","","Kid Buu Saga"
162,"Buu","Kid","Kid Buu Saga"
163,"Goku","Super Saiyan 2","Kid Buu Saga"
163,"Buu","Kid","Kid Buu Saga"
164,"Goku","","Peaceful World Saga"
164,"Goten","","Peaceful World Saga"
165,"Pan","","Peaceful World Saga"
165,"Wild Tiger","","Peaceful World Saga"
166,"Goku","","Peaceful World Saga"
166,"Uub","","Peaceful World Saga"
167,"Pan","","Peaceful World Saga"
167,"Goten","","Peaceful World Saga"
